iter	Passed	Remaining
0	0	579
1	1	566
2	1	552
3	2	544
4	2	548
5	3	528
6	3	506
7	4	518
8	4	518
9	5	515
10	5	509
11	6	514
12	6	508
13	7	512
14	7	510
15	8	512
16	8	508
17	9	502
18	9	505
19	10	506
20	10	506
21	11	505
22	11	504
23	12	503
24	12	502
25	13	503
26	13	502
27	14	498
28	14	501
29	15	502
30	16	501
31	16	500
32	17	500
33	17	499
34	18	501
35	18	502
36	19	505
37	19	506
38	20	506
39	21	506
40	21	507
41	22	507
42	22	508
43	23	507
44	23	508
45	24	507
46	24	506
47	25	505
48	25	504
49	26	503
50	27	502
51	27	502
52	28	500
53	28	499
54	29	498
55	29	498
56	30	497
57	30	500
58	31	499
59	31	497
60	32	498
61	32	498
62	33	498
63	33	497
64	34	496
65	35	495
66	35	495
67	35	491
68	36	490
69	36	489
70	37	489
71	37	488
72	38	487
73	38	486
74	39	484
75	39	484
76	40	484
77	41	484
78	41	483
79	42	484
80	42	483
81	43	482
82	43	482
83	44	481
84	44	479
85	45	478
86	45	475
87	45	475
88	46	475
89	47	475
90	47	476
91	48	476
92	48	476
93	49	476
94	49	476
95	50	475
96	51	474
97	51	474
98	52	474
99	52	474
100	53	475
101	53	472
102	54	471
103	54	471
104	55	470
105	55	469
106	56	468
107	56	467
108	57	467
109	57	467
110	58	468
111	59	468
112	59	468
113	60	468
114	60	468
115	61	467
116	61	466
117	62	465
118	62	464
119	63	463
120	63	463
121	64	462
122	64	460
123	65	461
124	65	460
125	66	459
126	66	459
127	67	457
128	67	456
129	68	455
130	68	454
131	68	453
132	69	452
133	69	451
134	70	451
135	70	450
136	71	450
137	71	449
138	72	448
139	73	448
140	73	448
141	74	447
142	74	447
143	75	447
144	75	446
145	76	446
146	76	446
147	77	447
148	78	447
149	78	446
150	79	446
151	80	446
152	80	446
153	81	445
154	81	445
155	82	445
156	82	444
157	83	443
158	83	443
159	84	443
160	85	442
161	85	443
162	86	442
163	86	442
164	87	442
165	88	442
166	88	442
167	89	442
168	90	442
169	90	442
170	91	442
171	91	442
172	92	441
173	92	440
174	93	440
175	93	439
176	94	438
177	94	437
178	95	437
179	95	437
180	96	435
181	96	435
182	97	435
183	98	435
184	98	435
185	99	434
186	99	434
187	100	433
188	100	433
189	101	432
190	101	431
191	102	432
192	103	431
193	103	431
194	104	431
195	104	430
196	105	429
197	105	429
198	106	428
199	107	428
200	107	427
201	108	427
202	108	427
203	109	426
204	110	426
205	110	426
206	111	425
207	111	425
208	112	425
209	112	425
210	113	424
211	114	424
212	114	423
213	115	423
214	115	423
215	116	422
216	116	422
217	117	421
218	118	421
219	118	421
220	119	420
221	119	419
222	120	419
223	121	419
224	121	418
225	122	418
226	122	417
227	123	417
228	123	416
229	124	415
230	124	415
231	125	414
232	125	413
233	126	412
234	126	412
235	127	411
236	127	411
237	128	410
238	128	409
239	129	409
240	129	408
241	130	408
242	130	407
243	131	407
244	131	406
245	132	405
246	133	405
247	133	405
248	134	405
249	134	404
250	135	403
251	135	403
252	136	402
253	136	401
254	137	401
255	138	401
256	138	401
257	139	401
258	139	400
259	140	400
260	141	400
261	141	399
262	142	399
263	142	398
264	143	397
265	144	397
266	144	397
267	145	396
268	145	396
269	146	396
270	147	395
271	147	394
272	148	394
273	148	393
274	149	393
275	149	392
276	150	392
277	150	391
278	151	391
279	151	390
280	152	390
281	152	389
282	153	388
283	153	387
284	154	387
285	154	386
286	155	385
287	155	385
288	156	384
289	156	383
290	157	383
291	157	382
292	158	382
293	158	381
294	159	381
295	160	380
296	160	380
297	161	379
298	161	379
299	162	378
300	162	378
301	163	377
302	163	377
303	164	377
304	165	376
305	165	376
306	166	375
307	166	375
308	167	374
309	167	373
310	168	373
311	169	372
312	169	372
313	170	371
314	170	371
315	171	371
316	172	370
317	172	370
318	173	369
319	173	369
320	174	368
321	174	367
322	175	367
323	175	366
324	176	365
325	176	365
326	177	364
327	177	364
328	178	363
329	179	363
330	179	362
331	180	362
332	180	362
333	181	361
334	181	361
335	182	360
336	183	360
337	183	359
338	184	359
339	184	358
340	185	358
341	185	357
342	186	356
343	186	356
344	187	355
345	187	354
346	188	354
347	188	353
348	189	353
349	189	352
350	190	351
351	190	351
352	191	350
353	191	350
354	192	349
355	192	348
356	193	348
357	193	347
358	194	347
359	194	346
360	195	346
361	196	345
362	196	345
363	197	344
364	197	344
365	198	343
366	199	343
367	199	342
368	200	342
369	201	342
370	201	341
371	202	341
372	202	341
373	203	340
374	204	340
375	204	339
376	205	338
377	205	338
378	206	337
379	206	336
380	207	336
381	207	335
382	208	335
383	208	335
384	209	334
385	209	333
386	210	333
387	210	332
388	211	332
389	211	331
390	212	330
391	213	330
392	213	329
393	213	329
394	214	328
395	214	327
396	215	327
397	215	326
398	216	325
399	216	325
400	217	324
401	217	324
402	218	323
403	219	323
404	219	322
405	220	322
406	220	321
407	221	321
408	222	320
409	222	320
410	223	319
411	223	318
412	224	318
413	224	317
414	225	317
415	225	316
416	226	316
417	226	315
418	227	315
419	228	315
420	228	314
421	229	313
422	229	313
423	230	312
424	230	312
425	231	312
426	232	311
427	233	311
428	233	311
429	234	310
430	234	309
431	235	309
432	235	308
433	236	308
434	236	307
435	237	307
436	238	306
437	238	306
438	239	305
439	240	305
440	240	304
441	241	304
442	241	304
443	242	303
444	242	303
445	243	302
446	244	301
447	244	301
448	245	301
449	245	300
450	246	299
451	246	299
452	247	298
453	247	298
454	248	297
455	248	297
456	249	296
457	250	295
458	250	295
459	251	294
460	251	294
461	252	293
462	252	293
463	253	292
464	253	292
465	254	291
466	255	291
467	255	290
468	256	289
469	256	289
470	257	288
471	257	288
472	258	287
473	258	287
474	259	286
475	259	285
476	260	285
477	260	284
478	261	284
479	261	283
480	262	283
481	263	282
482	263	282
483	264	281
484	264	281
485	265	280
486	265	280
487	266	279
488	266	278
489	267	278
490	267	277
491	268	277
492	268	276
493	269	276
494	270	275
495	270	275
496	271	274
497	271	273
498	272	273
499	272	272
500	273	272
501	273	271
502	274	270
503	274	270
504	275	270
505	276	269
506	276	268
507	277	268
508	277	267
509	278	267
510	278	266
511	279	266
512	280	265
513	280	265
514	281	264
515	281	264
516	282	263
517	282	263
518	283	262
519	283	262
520	284	261
521	285	261
522	285	260
523	286	260
524	286	259
525	287	258
526	287	258
527	288	257
528	289	257
529	289	256
530	290	256
531	290	255
532	291	255
533	292	254
534	292	254
535	293	253
536	293	253
537	294	252
538	295	252
539	295	252
540	296	251
541	297	251
542	297	250
543	298	250
544	298	249
545	299	249
546	300	248
547	300	248
548	301	247
549	302	247
550	302	246
551	303	246
552	303	245
553	304	245
554	304	244
555	305	243
556	305	243
557	306	242
558	307	242
559	307	241
560	308	241
561	308	240
562	309	239
563	309	239
564	310	238
565	310	238
566	311	237
567	311	236
568	312	236
569	312	235
570	313	235
571	313	234
572	313	233
573	314	233
574	314	232
575	315	232
576	315	231
577	316	230
578	316	230
579	317	229
580	317	229
581	318	228
582	318	228
583	319	227
584	319	226
585	320	226
586	320	225
587	321	225
588	321	224
589	322	223
590	322	223
591	323	222
592	323	222
593	324	221
594	324	220
595	325	220
596	325	219
597	326	219
598	326	218
599	327	218
600	327	217
601	328	216
602	328	216
603	329	215
604	329	215
605	330	214
606	330	214
607	330	213
608	331	212
609	332	212
610	332	211
611	332	211
612	333	210
613	333	209
614	334	209
615	334	208
616	335	208
617	335	207
618	336	206
619	336	206
620	337	205
621	337	205
622	338	204
623	338	204
624	339	203
625	339	202
626	340	202
627	340	201
628	341	201
629	341	200
630	342	200
631	342	199
632	343	198
633	343	198
634	344	197
635	344	197
636	345	196
637	345	196
638	346	195
639	346	194
640	347	194
641	347	193
642	347	193
643	348	192
644	349	192
645	349	191
646	350	191
647	350	190
648	351	189
649	351	189
650	352	188
651	352	188
652	353	187
653	353	187
654	354	186
655	354	185
656	355	185
657	355	184
658	355	184
659	356	183
660	356	183
661	357	182
662	357	181
663	358	181
664	358	180
665	359	180
666	359	179
667	360	179
668	360	178
669	361	177
670	361	177
671	362	176
672	362	176
673	363	175
674	363	175
675	364	174
676	365	174
677	365	173
678	366	173
679	366	172
680	367	171
681	367	171
682	368	170
683	368	170
684	369	169
685	369	169
686	370	168
687	370	168
688	371	167
689	371	166
690	371	166
691	372	165
692	373	165
693	373	164
694	374	164
695	374	163
696	375	163
697	375	162
698	376	161
699	376	161
700	376	160
701	377	160
702	378	159
703	378	159
704	379	158
705	379	157
706	379	157
707	380	156
708	380	156
709	381	155
710	381	155
711	382	154
712	382	154
713	383	153
714	383	152
715	384	152
716	384	151
717	385	151
718	385	150
719	386	150
720	386	149
721	387	149
722	387	148
723	388	148
724	388	147
725	389	146
726	390	146
727	390	145
728	391	145
729	391	144
730	391	144
731	392	143
732	392	143
733	393	142
734	393	141
735	394	141
736	394	140
737	395	140
738	395	139
739	396	139
740	396	138
741	397	138
742	397	137
743	398	137
744	398	136
745	399	135
746	399	135
747	400	134
748	400	134
749	401	133
750	401	133
751	402	132
752	402	132
753	403	131
754	403	131
755	404	130
756	404	129
757	405	129
758	405	128
759	406	128
760	406	127
761	407	127
762	407	126
763	408	126
764	408	125
765	408	124
766	409	124
767	409	123
768	410	123
769	410	122
770	411	122
771	411	121
772	412	121
773	412	120
774	413	119
775	413	119
776	414	118
777	414	118
778	415	117
779	415	117
780	416	116
781	417	116
782	417	115
783	418	115
784	418	114
785	419	114
786	419	113
787	420	113
788	420	112
789	421	111
790	421	111
791	422	110
792	422	110
793	422	109
794	423	109
795	423	108
796	424	108
797	424	107
798	425	106
799	425	106
800	426	105
801	426	105
802	427	104
803	427	104
804	428	103
805	428	103
806	429	102
807	429	102
808	430	101
809	430	101
810	431	100
811	431	99
812	432	99
813	432	98
814	433	98
815	433	97
816	434	97
817	434	96
818	435	96
819	435	95
820	436	95
821	436	94
822	437	94
823	437	93
824	438	92
825	438	92
826	439	91
827	439	91
828	440	90
829	440	90
830	441	89
831	441	89
832	441	88
833	442	88
834	442	87
835	443	86
836	443	86
837	444	85
838	444	85
839	445	84
840	445	84
841	446	83
842	446	83
843	447	82
844	447	82
845	448	81
846	448	81
847	448	80
848	449	79
849	449	79
850	450	78
851	450	78
852	451	77
853	451	77
854	452	76
855	452	76
856	453	75
857	453	75
858	454	74
859	454	73
860	454	73
861	455	72
862	455	72
863	456	71
864	456	71
865	457	70
866	457	70
867	458	69
868	458	69
869	459	68
870	459	68
871	460	67
872	460	67
873	461	66
874	461	65
875	462	65
876	462	64
877	463	64
878	463	63
879	464	63
880	464	62
881	465	62
882	465	61
883	466	61
884	466	60
885	467	60
886	467	59
887	468	59
888	468	58
889	469	58
890	470	57
891	470	56
892	471	56
893	471	55
894	472	55
895	472	54
896	473	54
897	473	53
898	474	53
899	474	52
900	475	52
901	476	51
902	476	51
903	477	50
904	477	50
905	478	49
906	478	49
907	479	48
908	479	48
909	480	47
910	480	46
911	481	46
912	481	45
913	482	45
914	482	44
915	482	44
916	483	43
917	483	43
918	484	42
919	484	42
920	485	41
921	486	41
922	486	40
923	487	40
924	487	39
925	488	39
926	488	38
927	488	37
928	489	37
929	489	36
930	490	36
931	490	35
932	491	35
933	491	34
934	492	34
935	492	33
936	492	33
937	493	32
938	493	32
939	494	31
940	494	31
941	495	30
942	495	29
943	495	29
944	496	28
945	496	28
946	497	27
947	497	27
948	498	26
949	498	26
950	499	25
951	499	25
952	500	24
953	500	24
954	501	23
955	501	23
956	502	22
957	502	22
958	502	21
959	503	20
960	503	20
961	504	19
962	504	19
963	505	18
964	505	18
965	506	17
966	506	17
967	507	16
968	507	16
969	507	15
970	508	15
971	508	14
972	509	14
973	509	13
974	510	13
975	510	12
976	511	12
977	511	11
978	512	10
979	512	10
980	513	9
981	513	9
982	514	8
983	514	8
984	515	7
985	515	7
986	516	6
987	516	6
988	517	5
989	517	5
990	517	4
991	518	4
992	518	3
993	519	3
994	519	2
995	520	2
996	520	1
997	521	1
998	521	0
999	522	0
