iter	Passed	Remaining
0	0	767
1	1	655
2	1	641
3	2	625
4	3	599
5	3	581
6	4	577
7	4	600
8	5	594
9	5	591
10	6	583
11	6	576
12	7	572
13	8	568
14	8	566
15	9	561
16	9	557
17	10	552
18	10	549
19	11	547
20	11	549
21	12	549
22	13	553
23	13	550
24	14	548
25	14	546
26	15	543
27	15	541
28	16	539
29	16	536
30	17	534
31	17	536
32	18	535
33	18	536
34	19	533
35	19	534
36	20	532
37	21	531
38	21	528
39	21	526
40	22	526
41	23	526
42	23	527
43	24	525
44	24	523
45	25	523
46	25	520
47	26	520
48	26	519
49	27	519
50	28	521
51	28	520
52	29	519
53	29	519
54	30	520
55	30	519
56	31	519
57	31	518
58	32	517
59	33	517
60	33	517
61	34	516
62	34	516
63	35	514
64	35	514
65	36	513
66	36	515
67	37	513
68	37	512
69	38	511
70	39	510
71	39	509
72	39	507
73	40	506
74	41	507
75	41	507
76	42	506
77	42	505
78	43	505
79	43	505
80	44	504
81	45	504
82	45	500
83	45	499
84	46	498
85	46	497
86	47	497
87	47	496
88	48	496
89	49	497
90	49	496
91	50	495
92	50	494
93	51	493
94	51	492
95	52	491
96	52	489
97	53	488
98	53	487
99	54	486
100	54	485
101	55	484
102	55	484
103	56	483
104	56	482
105	57	481
106	57	481
107	58	480
108	58	480
109	59	479
110	59	478
111	60	477
112	60	476
113	61	476
114	61	476
115	62	476
116	62	475
117	63	474
118	64	474
119	64	473
120	65	472
121	65	470
122	65	469
123	66	468
124	66	466
125	67	466
126	67	464
127	68	464
128	68	463
129	69	462
130	69	462
131	70	462
132	70	462
133	71	462
134	72	462
135	72	461
136	73	461
137	73	461
138	74	462
139	75	461
140	75	461
141	76	459
142	76	459
143	77	459
144	77	459
145	78	459
146	79	458
147	79	458
148	80	458
149	80	458
150	81	457
151	81	456
152	82	456
153	82	455
154	83	455
155	84	454
156	84	454
157	85	454
158	85	453
159	86	454
160	86	452
161	87	452
162	87	451
163	88	451
164	89	450
165	89	450
166	90	449
167	90	449
168	91	448
169	91	447
170	92	447
171	92	447
172	93	446
173	93	446
174	94	445
175	95	444
176	95	444
177	96	444
178	96	443
179	97	443
180	97	442
181	98	442
182	99	442
183	99	442
184	100	441
185	100	441
186	101	440
187	101	440
188	102	439
189	103	439
190	103	438
191	104	437
192	104	437
193	105	436
194	105	436
195	106	436
196	106	436
197	107	435
198	108	434
199	108	434
200	109	433
201	109	432
202	110	431
203	110	431
204	111	430
205	111	431
206	112	431
207	113	431
208	113	431
209	114	430
210	114	429
211	115	428
212	115	428
213	116	427
214	116	426
215	117	426
216	118	425
217	118	425
218	119	424
219	119	424
220	120	423
221	120	422
222	121	422
223	121	421
224	122	421
225	122	420
226	123	419
227	123	419
228	124	418
229	124	417
230	125	417
231	126	417
232	126	416
233	127	416
234	127	415
235	128	415
236	128	414
237	129	413
238	129	413
239	130	412
240	130	412
241	131	411
242	132	411
243	132	411
244	133	410
245	133	410
246	134	409
247	134	408
248	135	408
249	135	407
250	136	407
251	137	406
252	137	406
253	138	405
254	138	405
255	139	404
256	139	404
257	140	403
258	140	402
259	141	402
260	141	401
261	142	401
262	143	401
263	143	400
264	144	399
265	144	399
266	145	398
267	145	398
268	146	397
269	146	397
270	147	396
271	147	396
272	148	395
273	148	394
274	149	394
275	150	393
276	150	393
277	151	392
278	151	392
279	152	391
280	152	390
281	153	390
282	153	389
283	154	388
284	154	388
285	155	387
286	155	387
287	156	386
288	156	385
289	157	385
290	157	384
291	158	384
292	159	383
293	159	383
294	160	382
295	160	382
296	161	381
297	162	381
298	162	381
299	163	380
300	163	380
301	164	380
302	164	379
303	165	378
304	165	378
305	166	377
306	167	377
307	167	376
308	168	376
309	169	376
310	169	375
311	170	375
312	170	374
313	171	373
314	171	373
315	172	372
316	172	372
317	173	371
318	173	371
319	174	370
320	175	370
321	175	369
322	176	369
323	176	368
324	177	367
325	177	367
326	178	366
327	178	366
328	179	365
329	179	364
330	180	364
331	180	363
332	181	363
333	182	362
334	182	362
335	183	361
336	183	361
337	183	360
338	184	359
339	185	359
340	185	358
341	186	358
342	186	357
343	187	357
344	187	356
345	188	356
346	188	355
347	189	355
348	189	354
349	190	353
350	190	352
351	191	352
352	191	351
353	192	351
354	193	350
355	193	350
356	194	349
357	194	349
358	195	348
359	195	347
360	196	347
361	196	346
362	197	346
363	197	345
364	198	345
365	199	344
366	199	344
367	200	343
368	200	343
369	201	342
370	201	342
371	202	341
372	203	341
373	203	340
374	204	340
375	204	339
376	205	338
377	205	338
378	206	337
379	206	337
380	207	336
381	207	336
382	208	335
383	208	335
384	209	334
385	209	333
386	210	333
387	210	332
388	211	332
389	212	332
390	212	331
391	213	331
392	214	330
393	214	330
394	215	329
395	215	329
396	216	328
397	216	327
398	217	327
399	218	327
400	218	326
401	219	326
402	219	325
403	220	324
404	220	324
405	221	324
406	222	323
407	222	323
408	223	322
409	223	321
410	224	321
411	224	320
412	225	320
413	225	319
414	226	319
415	226	318
416	227	318
417	227	317
418	228	316
419	229	316
420	229	315
421	230	315
422	230	314
423	231	314
424	231	313
425	232	313
426	232	312
427	233	312
428	234	311
429	234	311
430	235	310
431	236	310
432	236	310
433	237	309
434	238	309
435	238	308
436	239	308
437	239	307
438	240	307
439	240	306
440	241	305
441	241	305
442	242	304
443	242	304
444	243	303
445	244	303
446	244	302
447	245	302
448	245	301
449	246	301
450	246	300
451	247	299
452	248	299
453	248	298
454	249	298
455	249	297
456	250	297
457	250	296
458	251	296
459	251	295
460	252	295
461	253	294
462	253	294
463	254	293
464	254	293
465	255	292
466	255	291
467	256	291
468	256	290
469	257	290
470	257	289
471	258	289
472	259	288
473	259	288
474	260	287
475	260	287
476	261	286
477	262	286
478	262	285
479	263	285
480	263	284
481	264	284
482	264	283
483	265	283
484	266	282
485	266	281
486	267	281
487	267	280
488	268	280
489	269	279
490	269	279
491	270	278
492	270	278
493	271	277
494	271	277
495	272	276
496	272	276
497	273	275
498	274	275
499	274	274
500	275	274
501	275	273
502	276	273
503	276	272
504	277	272
505	278	271
506	278	270
507	279	270
508	279	269
509	280	269
510	280	268
511	281	268
512	282	267
513	282	267
514	283	266
515	283	266
516	284	265
517	284	264
518	285	264
519	285	263
520	286	263
521	286	262
522	287	262
523	287	261
524	288	261
525	288	260
526	289	259
527	290	259
528	290	258
529	291	258
530	291	257
531	292	256
532	292	256
533	293	256
534	293	255
535	294	254
536	294	254
537	295	253
538	295	253
539	296	252
540	296	251
541	297	251
542	297	250
543	298	250
544	299	249
545	299	249
546	300	248
547	300	248
548	301	247
549	301	246
550	302	246
551	302	245
552	303	245
553	303	244
554	304	244
555	304	243
556	305	242
557	305	242
558	306	241
559	307	241
560	307	240
561	308	240
562	308	239
563	309	239
564	309	238
565	310	237
566	310	237
567	311	236
568	312	236
569	312	235
570	313	235
571	313	234
572	314	234
573	315	233
574	315	233
575	316	232
576	316	232
577	317	231
578	317	231
579	318	230
580	318	230
581	319	229
582	320	229
583	320	228
584	321	227
585	322	227
586	322	226
587	323	226
588	323	226
589	324	225
590	325	225
591	326	224
592	326	224
593	327	223
594	327	223
595	328	222
596	328	222
597	329	221
598	330	220
599	330	220
600	331	219
601	331	219
602	332	218
603	332	218
604	333	217
605	333	217
606	334	216
607	334	215
608	335	215
609	335	214
610	336	214
611	337	213
612	337	213
613	338	212
614	338	212
615	339	211
616	340	211
617	340	210
618	341	209
619	341	209
620	342	208
621	342	208
622	343	207
623	343	207
624	344	206
625	344	206
626	345	205
627	345	204
628	346	204
629	347	203
630	347	203
631	347	202
632	348	202
633	349	201
634	349	200
635	350	200
636	350	199
637	351	199
638	351	198
639	352	198
640	352	197
641	353	196
642	353	196
643	354	195
644	354	195
645	355	194
646	355	194
647	356	193
648	357	193
649	357	192
650	358	191
651	358	191
652	359	190
653	359	190
654	360	189
655	360	189
656	361	188
657	361	188
658	362	187
659	362	186
660	363	186
661	363	185
662	364	185
663	364	184
664	365	184
665	365	183
666	366	182
667	366	182
668	367	181
669	368	181
670	368	180
671	369	180
672	369	179
673	370	179
674	370	178
675	371	177
676	371	177
677	372	176
678	372	176
679	373	175
680	373	175
681	374	174
682	374	173
683	375	173
684	375	172
685	376	172
686	376	171
687	377	171
688	377	170
689	378	169
690	378	169
691	379	168
692	379	168
693	380	167
694	381	167
695	381	166
696	382	166
697	382	165
698	383	165
699	383	164
700	384	163
701	384	163
702	385	162
703	385	162
704	386	161
705	386	161
706	387	160
707	387	159
708	388	159
709	388	158
710	389	158
711	389	157
712	390	157
713	390	156
714	391	156
715	391	155
716	392	154
717	393	154
718	393	153
719	394	153
720	394	152
721	395	152
722	395	151
723	396	151
724	396	150
725	397	149
726	397	149
727	398	148
728	398	148
729	399	147
730	399	147
731	400	146
732	400	145
733	401	145
734	401	144
735	402	144
736	402	143
737	403	143
738	403	142
739	404	142
740	404	141
741	405	140
742	405	140
743	406	139
744	406	139
745	407	138
746	407	138
747	408	137
748	408	136
749	409	136
750	409	135
751	410	135
752	410	134
753	411	134
754	411	133
755	412	133
756	413	132
757	413	132
758	414	131
759	414	130
760	415	130
761	415	129
762	416	129
763	416	128
764	417	128
765	417	127
766	418	127
767	418	126
768	419	125
769	419	125
770	420	124
771	420	124
772	421	123
773	421	123
774	422	122
775	422	122
776	423	121
777	424	121
778	424	120
779	425	119
780	425	119
781	426	118
782	426	118
783	427	117
784	427	117
785	428	116
786	428	116
787	429	115
788	429	114
789	430	114
790	431	113
791	431	113
792	432	112
793	432	112
794	433	111
795	433	111
796	434	110
797	434	110
798	435	109
799	435	108
800	436	108
801	437	107
802	437	107
803	438	106
804	438	106
805	439	105
806	439	105
807	440	104
808	440	104
809	441	103
810	441	102
811	442	102
812	442	101
813	443	101
814	443	100
815	444	100
816	444	99
817	445	99
818	445	98
819	446	98
820	446	97
821	447	96
822	447	96
823	448	95
824	449	95
825	449	94
826	450	94
827	450	93
828	451	93
829	451	92
830	452	92
831	453	91
832	454	91
833	454	90
834	455	89
835	455	89
836	456	88
837	456	88
838	457	87
839	458	87
840	458	86
841	459	86
842	459	85
843	460	85
844	460	84
845	461	83
846	461	83
847	462	82
848	462	82
849	463	81
850	464	81
851	464	80
852	465	80
853	465	79
854	466	79
855	466	78
856	467	77
857	467	77
858	468	76
859	468	76
860	469	75
861	469	75
862	470	74
863	470	74
864	471	73
865	471	73
866	472	72
867	472	71
868	473	71
869	473	70
870	474	70
871	475	69
872	475	69
873	475	68
874	476	68
875	477	67
876	478	67
877	478	66
878	479	65
879	479	65
880	480	64
881	481	64
882	481	63
883	482	63
884	482	62
885	482	62
886	483	61
887	483	61
888	484	60
889	484	59
890	485	59
891	485	58
892	486	58
893	487	57
894	487	57
895	488	56
896	488	56
897	489	55
898	489	54
899	490	54
900	490	53
901	491	53
902	491	52
903	492	52
904	492	51
905	493	51
906	493	50
907	494	50
908	494	49
909	495	48
910	495	48
911	496	47
912	496	47
913	497	46
914	497	46
915	498	45
916	498	45
917	499	44
918	499	44
919	500	43
920	500	42
921	501	42
922	501	41
923	502	41
924	502	40
925	503	40
926	503	39
927	504	39
928	504	38
929	505	38
930	506	37
931	506	36
932	507	36
933	507	35
934	508	35
935	508	34
936	509	34
937	509	33
938	510	33
939	510	32
940	511	32
941	511	31
942	512	30
943	512	30
944	513	29
945	513	29
946	514	28
947	514	28
948	515	27
949	515	27
950	516	26
951	516	26
952	517	25
953	517	24
954	518	24
955	519	23
956	519	23
957	520	22
958	520	22
959	521	21
960	521	21
961	522	20
962	522	20
963	523	19
964	523	18
965	524	18
966	524	17
967	525	17
968	525	16
969	526	16
970	527	15
971	527	15
972	528	14
973	528	14
974	528	13
975	529	13
976	530	12
977	530	11
978	531	11
979	531	10
980	532	10
981	532	9
982	533	9
983	533	8
984	534	8
985	534	7
986	535	7
987	535	6
988	536	5
989	536	5
990	537	4
991	537	4
992	538	3
993	538	3
994	539	2
995	539	2
996	540	1
997	540	1
998	541	0
999	542	0
